,city,state
16,Abingdon ,MD
228,Altenburg ,MO
286,Amityville ,NY
1041,Berkeley Heights ,NJ
1045,Berkley ,MI
1149,Binghamton ,NY
1170,Black Canyon City ,AZ
1196,Blain ,PA
1201,Blairsville ,PA
1221,Bloomfield ,NJ
1381,Bozrah ,CT
1471,Bridge Port ,IA
1597,Brookville ,IN
1621,Bruceton Mills ,WV
1632,Brutus ,MI
1635,Bryant ,AR
1685,Buffalo Grove ,IL
1687,Buford ,GA
1704,Bunnlevel ,NC
1717,Burke ,SD
1729,Burlington ,KY
1797,Cabot ,PA
1816,Caldwell ,ID
1839,Callery ,PA
1846,Calypso ,NC
1848,Camano Island ,WA
1850,Camarillo ,CA
1879,Camillus ,NY
1904,Canastota ,NY
1979,Carlstadt ,NJ
2003,Carroll ,OH
2027,Carversville ,PA
5927,Holly ,MI
6822,Lake Forest ,IL
6845,Lake Norden ,SD
6912,Landenberg ,PA
7555,Macomb Township ,MI
7563,Madera ,PA
7575,Madison ,PA
7577,Madison ,TN
7607,Maidens ,VA
7608,Maidsville ,WV
7615,Malaga ,NJ
7620,Malden Bridge ,NY
7624,Mallory ,NY
7625,Malmstrom A F B ,MT
7626,Malone ,WI
7637,Manakin Sabot ,VA
7646,Manchester ,MA
7652,Manchester ,PA
7655,Manchester Township ,NJ
7661,Manheim ,PA
7666,Manitou Beach ,MI
7674,Manning ,OR
7676,Manomet ,MA
7677,Manor ,PA
7681,Manquin ,VA
7690,Mansfield Center ,CT
7691,Mansfield Depot ,CT
7704,Manville ,RI
7709,Maple Hill ,NC
7721,Mapleton Depot ,PA
7722,Mapleville ,RI
7724,Maplewood ,OH
7731,Marble ,PA
7733,Marble Hill ,GA
7738,Marbury ,MD
7750,Margarettsville ,NC
7752,Maria Stein ,OH
7753,Mariah Hill ,IN
7759,Marietta ,NY
7761,Marietta ,SC
7768,Marine on Saint Croix ,MN
7770,Marion ,CT
7791,Mark Center ,IN
7794,Markham ,VA
7796,Markleton ,PA
7809,Marmora ,NJ
7810,Marne ,MI
7814,Marriottsville ,MD
7824,Marshall ,WI
7836,Marstons Mills ,MA
7838,Martel ,OH
7839,Martell ,NE
7844,Martin ,OH
7860,Marydel ,DE
7878,Maspeth ,NY
7879,Massapequa ,NY
7889,Matheson ,CO
7890,Mathews ,AL
7892,Mattapan ,MA
7906,Maurepas ,LA
7908,Mauricetown ,NJ
7916,Maxwelton ,WV
7922,Mayfield ,MI
7925,Maylene ,AL
7932,Mayport ,PA
7933,Mays ,IN
7935,Mayslick ,KY
7950,Mc Adenville ,NC
7951,Mc Afee ,NJ
7952,Mc Alisterville ,PA
7953,Mc Arthur ,OH
7954,Mc Bain ,MI
7955,Mc Calla ,AL
7956,Mc Callsburg ,IA
7957,Mc Caskill ,AR
7958,Mc Causland ,IA
7959,Mc Clelland ,IA
7960,Mc Clellandtown ,PA
7961,Mc Clure ,OH
7962,Mc Clure ,PA
7963,Mc Comb ,OH
7964,Mc Connellsburg ,PA
7965,Mc Connellstown ,PA
7966,Mc Cook ,NE
7967,Mc Cool Junction ,NE
7968,Mc Cordsville ,IN
7969,Mc Cormick ,SC
7970,Mc Cutchenville ,OH
7971,Mc David ,FL
7972,Mc Dermott ,OH
7973,Mc Donald ,OH
7974,Mc Donald ,PA
7975,Mc Donald ,TN
7976,Mc Elhattan ,PA
7977,Mc Ewensville ,PA
7978,Mc Farland ,WI
7979,Mc Gaheysville ,VA
7980,Mc Gee ,MO
7981,Mc Grann ,PA
7982,Mc Graw ,NY
7983,Mc Gregor ,IA
7984,Mc Gregor ,TX
7985,Mc Guffey ,OH
7986,Mc Henry ,MD
7987,Mc Kean ,PA
7988,Mc Kees Rocks ,PA
7989,Mc Kenzie ,TN
7990,Mc Knightstown ,PA
7991,Mc Lean ,IL
7992,Mc Lean ,VA
7993,Mc Leansville ,NC
7994,Mc Leod ,MT
7995,Mc Nabb ,IL
7996,Mc Queeney ,TX
7997,Mc Sherrystown ,PA
7998,Mc Veytown ,PA
8003,McCutcheon Field ,NC
8016,Meadow Lands ,PA
8017,Meadowview ,VA
8019,Meally ,KY
8021,Mears ,MI
8050,Medinah ,IL
8054,Medway ,OH
8062,Melcroft ,PA
8065,Melrose ,FL
8067,Melrose ,NY
8077,Memphis ,NY
8083,Mendenhall ,PA
8102,Mercer ,TN
8114,Merion Station ,PA
8117,Merna ,IL
8128,Merritt ,NC
8130,Merrittstown ,PA
8135,Mesilla Park ,NM
8143,Methuen ,MA
8161,Mickleton ,NJ
8162,Mico ,TX
8164,Middle Grove ,NY
8165,Middle Haddam ,CT
8168,Middle Village ,NY
8169,Middleboro ,MA
8171,Middlebranch ,OH
8180,Middlebury Center ,PA
8202,Middleville ,NJ
8204,Midland ,GA
8216,Midlothian ,VA
8225,Midway Park ,NC
8226,Mifflin ,PA
8236,Mildred ,PA
8239,Milesville ,SD
8250,Milford ,VA
8253,Mill Creek ,IN
8254,Mill Creek ,PA
8257,Mill Run ,PA
8279,Millersville ,MD
8280,Millersville ,MO
8284,Milligan College ,TN
8288,Millington ,NJ
8292,Millmont ,PA
8299,Millstone Township ,NJ
8300,Milltown ,MT
8307,Millville ,WV
8308,Millwood ,WV
8309,Millwood ,NY
8310,Milmay ,NJ
8342,Mineral Point ,PA
8346,Mineral Springs ,PA
8348,Mineral Wells ,WV
8365,Minot ,MA
8367,Minotola ,NJ
8370,Mira Loma ,CA
8376,Mission Hill ,SD
8385,Mitchells ,VA
8387,Mizpah ,NJ
8392,Model City ,NY
8394,Modena ,NY
8401,Mohegan Lake ,NY
8406,Moline ,MI
8412,Monarch ,MT
8419,Moneta ,VA
8421,Monkton ,MD
8429,Monponsett ,MA
8439,Monroe ,VA
8443,Monroe ,OK
8444,Monroe ,SD
8446,Monroe Township ,NJ
8449,Monroeville ,NJ
8459,Mont Clare ,PA
8476,Monterville ,WV
8478,Monteview ,ID
8488,Montgomery ,PA
8505,Montour Falls ,NY
8507,Montpelier ,IA
8512,Montpelier ,VA
8514,Montpelier Station ,VA
8515,Montrose ,AL
8516,Montrose ,CA
8528,Montville ,OH
8534,Moody ,ME
8536,Moon ,VA
8539,Moore ,SC
8553,Mora ,LA
8555,Morann ,PA
8575,Mormon Lake ,AZ
8577,Morning View ,KY
8590,Morris Chapel ,TN
8592,Morris Run ,PA
8598,Morrisonville ,WI
8611,Morton ,NY
8615,Moscow ,IA
8619,Moscow ,VT
8620,Moseley ,VA
8625,Mossville ,IL
8630,Mound ,TX
8640,Mount Berry ,GA
8641,Mount Bethel ,PA
8643,Mount Braddock ,PA
8666,Mount Joy ,PA
8674,Mount Olive ,AL
8676,Mount Olive ,WV
8678,Mount Perry ,OH
8681,Mount Pleasant ,PA
8689,Mount Royal ,NJ
8693,Mount Solon ,VA
8696,Mount Storm ,WV
8698,Mount Tabor ,NJ
8699,Mount Ulla ,NC
8716,Mount Zion ,WV
8717,Mountain Dale ,NY
8720,Mountain Home ,TN
8732,Mt Zion ,IL
8744,Mullett Lake ,MI
8745,Mullica Hill ,NJ
8748,Mumford ,NY
8752,Muncy Valley ,PA
8756,Munger ,MI
8757,Munith ,MI
8766,Murphy ,OR
8770,Murrayville ,GA
8779,Musella ,GA
8784,Myakka City ,FL
8792,Nancy ,KY
8793,Nanjemoy ,MD
8794,Nankin ,OH
8795,Nanty Glo ,PA
8811,Narvon ,PA
8814,Nashport ,OH
8817,Nashville ,TN
8824,Nassau ,DE
8830,National City ,MI
8832,Natrona Heights ,PA
8836,Navarre ,MN
8839,Naylor ,GA
8846,Needham Heights ,MA
8847,Neelyton ,PA
8849,Neffs ,PA
8860,Nemo ,SD
8870,Nesbit ,MS
8872,Neshanic Station ,NJ
8903,New Bloomfield ,PA
8904,New Boston ,MI
8915,New Caney ,TX
8916,New Canton ,VA
8925,New Century ,KS
8928,New Concord ,KY
8930,New Creek ,WV
8938,New Enterprise ,PA
8942,New Franken ,WI
8952,New Hampton ,NY
8962,New Hill ,NC
8970,New Hudson ,MI
8982,New Lisbon ,NJ
8993,New Manchester ,WV
9003,New Munster ,WI
9011,New Park ,PA
9014,New Point ,VA
9018,New Preston Marble Dale ,CT
9021,New Providence ,PA
9036,New Springfield ,OH
9044,New Vernon ,NJ
9055,New Windsor ,IL
9059,New York Mills ,NY
9060,Newalla ,OK
9065,Newark ,NY
9075,Newburg ,MD
9077,Newburg ,PA
9083,Newbury Park ,CA
9098,Newfoundland ,NJ
9099,Newhall ,CA
9103,Newman Lake ,WA
9111,Newport ,MI
9114,Newport ,NJ
9118,Newport ,VA
9121,Newport Coast ,CA
9132,Newton ,WI
9133,Newton Center ,MA
9137,Newton Highlands ,MA
9138,Newton Lower Falls ,MA
9139,Newton Upper Falls ,MA
9141,Newtonville ,MA
9142,Newtonville ,NJ
9143,Newtonville ,NY
9147,Newtown Square ,PA
9160,Nicktown ,PA
9167,Nine Mile Falls ,WA
9170,Nineveh ,PA
9172,Niota ,IL
9192,Norge ,VA
9193,Norma ,NJ
9194,Normal ,IL
9195,Normalville ,PA
9197,Normandy Beach ,NJ
9204,North ,VA
9208,North Anson ,ME
9211,North Attleboro ,MA
9216,North Bay ,NY
9221,North Benton ,OH
9224,North Billerica ,MA
9230,North Bridgton ,ME
9233,North Canton ,CT
9235,North Carver ,MA
9237,North Chatham ,MA
9238,North Chatham ,NY
9239,North Chelmsford ,MA
9241,North Chili ,NY
9244,North Dartmouth ,MA
9245,North Dighton ,MA
9249,North Easton ,MA
9251,North Evans ,NY
9254,North Ferrisburgh ,VT
9256,North Franklin ,CT
9258,North Garden ,VA
9259,North Grafton ,MA
9261,North Greece ,NY
9262,North Grosvenordale ,CT
9265,North Hatfield ,MA
9269,North Hills ,CA
9270,North Hollywood ,CA
9271,North Jackson ,OH
9275,North Lake ,WI
9281,North Lima ,OH
9284,North Marshfield ,MA
9286,North Monmouth ,ME
9287,North Montpelier ,VT
9291,North Oxford ,MA
9305,North Salem ,NH
9308,North Sandwich ,NH
9309,North Scituate ,RI
9314,North Street ,MI
9315,North Sutton ,NH
9317,North Truro ,MA
9318,North Vassalboro ,ME
9323,North Waterboro ,ME
9325,North Weymouth ,MA
9326,North Windham ,CT
9330,Northampton ,PA
9334,Northeast Harbor ,ME
9336,Northfield ,CT
9341,Northford ,CT
9345,Northridge ,CA
9350,Northville ,NY
9351,Northville ,SD
9376,Nova ,OH
9378,Novelty ,OH
9382,Nunda ,SD
9383,Nunica ,MI
9385,Nursery ,TX
9388,O Brien ,OR
9389,O Fallon ,IL
9408,Oak Ridge ,NJ
9409,Oak Ridge ,PA
9416,Oakdale ,CT
9418,Oakfield ,TN
9420,Oakford ,IN
9428,Oakland ,MI
9430,Oakland ,RI
9435,Oakland Gardens ,NY
9436,Oakland Mills ,PA
9443,Oaks ,PA
9449,Oberlin ,LA
9452,Ocala ,FL
9454,Ocean Bluff ,MA
9460,Ocean Park ,ME
9463,Ocean View ,NJ
9467,Oceanville ,NJ
9469,Ochopee ,FL
9470,Ocklawaha ,FL
9472,Ocoee ,TN
9489,Offutt A F B ,NE
9499,Oglesby ,IL
9508,Oilville ,VA
9511,Okatie ,SC
9512,Okauchee ,WI
9514,Okeana ,OH
9521,Olalla ,WA
9522,Olanta ,PA
9529,Old Chatham ,NY
9530,Old Fort ,TN
9532,Old Hickory ,TN
9536,Old Town ,ME
9538,Old Zionsville ,PA
9539,Oldenburg ,IN
9540,Oldfield ,MO
9543,Oldtown ,MD
9544,Oldwick ,NJ
9548,Olin ,NC
9551,Olivebridge ,NY
9552,Oliveburg ,PA
9565,Ona ,WV
9570,Onego ,WV
9574,Onemo ,VA
9577,Ono ,PA
9584,Ontario Center ,NY
9589,Opa Locka ,FL
9592,Ophiem ,IL
9594,Oran ,IA
9599,Orange ,NJ
9603,Orange Lake ,FL
9614,Orefield ,PA
9619,Oregonia ,OH
9632,Orkney Springs ,VA
9637,Orlando East ,FL
9638,Orlando West ,FL
9648,Orrs Island ,ME
9653,Ortley ,SD
9659,Osage ,WV
9666,Osceola ,PA
9675,Osseo ,MI
9681,Osteen ,FL
9682,Osterburg ,PA
9683,Osterville ,MA
9692,Otis ,LA
9694,Otis Orchards ,WA
9695,Otisco ,IN
9698,Otley ,IA
9706,Ottsville ,PA
9708,Otwell ,IN
9709,Outing ,MN
9710,Ovalo ,TX
9733,Oxford ,FL
9754,Ozawkie ,KS
9755,Ozona ,FL
9759,Pacoima ,CA
9763,Paeonian Springs ,VA
9765,Paint Lick ,KY
9775,Palestine ,WV
9777,Palisades ,NY
9779,Palm ,PA
9789,Palmer ,MA
9800,Palmyra ,PA
9806,Palos Heights ,IL
9809,Palos Verdes Peninsula ,CA
9820,Panorama City ,CA
9837,Paris ,OH
9845,Park Hall ,MD
9854,Parker Ford ,PA
9855,Parkers Lake ,KY
9860,Parkhill ,PA
9863,Parksville ,NY
9864,Parkton ,MD
9866,Parlin ,NJ
9872,Paron ,AR
9875,Parsippany ,NJ
9881,Partlow ,VA
9902,Pattersonville ,NY
9904,Patuxent River ,MD
9906,Paulding ,IN
9907,Pauline ,SC
9912,Paw Paw ,IL
9921,Paxinos ,PA
9926,Payne ,IN
9927,Payneville ,KY
9932,Peace Dale ,RI
9936,Peapack ,NJ
9937,Pearcy ,AR
9944,Peck ,KS
9946,Pecks Mill ,WV
9956,Pekin ,IN
9958,Pelham ,AL
9959,Pelham ,NC
9965,Pell Lake ,WI
9969,Pemaquid ,ME
9982,Pendleton ,NC
9984,Pendleton ,TX
9985,Pendroy ,MT
9988,Penfield ,PA
9991,Penn ,PA
9992,Penn Laird ,VA
9993,Penn Run ,PA
9995,Pennellville ,NY
10001,Penns Park ,PA
10006,Pennsylvania Furnace ,PA
10027,Perkinsville ,NY
10028,Perkiomenville ,PA
10039,Perry Park ,KY
10049,Peru ,IA
10060,Petersburg ,NY
10061,Petersburg ,OH
10075,Peytona ,WV
10076,Pfafftown ,NC
10092,Philpot ,KY
10101,Picabo ,ID
10102,Picatinny Arsenal ,NJ
10103,Picher ,OK
10107,Pickett ,WI
10110,Pickwick Dam ,TN
10137,Pilot ,VA
10147,Pine Brook ,NJ
10150,Pine City ,NY
10151,Pine Grove ,LA
10153,Pine Island ,MN
10154,Pine Island ,NY
10158,Pine Meadow ,CT
10160,Pine Mountain Valley ,GA
